id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
493,TVS Star City Plus,52000.0,2017,Individual,1st owner,25000,,5,5,5000.0,416.667,TVS
494,Bajaj Discover 125,38000.0,2018,Individual,1st owner,34000,60122.0,4,7,8500.0,708.333,Bajaj
495,Bajaj Discover 135,12000.0,2007,Individual,1st owner,60000,,15,12,4000.0,333.333,Bajaj
496,Honda CB Shine SP,47000.0,2017,Individual,1st owner,73000,64750.0,5,15,14600.0,1216.667,Honda
497,Honda Activa [2000-2015],22000.0,2014,Individual,1st owner,38000,50267.0,8,8,4750.0,395.833,Honda
498,Bajaj Avenger [2015],65000.0,2015,Individual,1st owner,26000,75502.0,7,6,3714.286,309.524,Bajaj
499,Bajaj Platina 100,23000.0,2013,Individual,2nd owner,24000,,9,5,2666.667,222.222,Bajaj
500,Bajaj Discover 100,30000.0,2011,Individual,1st owner,45000,42859.0,11,9,4090.909,340.909,Bajaj
501,Bajaj Pulsar 150,35000.0,2011,Individual,1st owner,36000,,11,8,3272.727,272.727,Bajaj
502,Bajaj Avenger Street 150 [2018],80000.0,2017,Individual,1st owner,30000,80435.0,5,6,6000.0,500.0,Bajaj
503,Bajaj Platina 100,20000.0,2012,Individual,1st owner,16295,,10,4,1629.5,135.792,Bajaj
504,Bajaj Pulsar 150,16000.0,2011,Individual,2nd owner,59000,,11,12,5363.636,446.97,Bajaj
505,Bajaj Pulsar 150,20000.0,2006,Individual,1st owner,9500,,16,2,593.75,49.479,Bajaj
506,Bajaj Pulsar NS200,50000.0,2012,Individual,1st owner,46000,,10,10,4600.0,383.333,Bajaj
507,Honda CB Trigger,40000.0,2015,Individual,1st owner,75000,76572.0,7,15,10714.286,892.857,Honda
508,Bajaj Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,12,16,6666.667,555.556,Bajaj
509,Bajaj Pulsar 180,65000.0,2018,Individual,1st owner,26000,85011.0,4,6,6500.0,541.667,Bajaj
510,Yamaha YZF R15 S,85000.0,2016,Individual,1st owner,26000,117926.0,6,6,4333.333,361.111,Yamaha
511,Hero Splendor Plus,12000.0,2007,Individual,1st owner,100000,,15,20,6666.667,555.556,Hero
512,Hero Xpulse 200T,105000.0,2019,Individual,1st owner,2900,96500.0,3,1,966.667,80.556,Hero
513,Yamaha FZ S V 2.0,40000.0,2015,Individual,1st owner,25000,84042.0,7,5,3571.429,297.619,Yamaha
514,Bajaj Discover 150,30000.0,2011,Individual,2nd owner,39500,54299.0,11,8,3590.909,299.242,Bajaj
515,Honda Activa [2000-2015],25000.0,2012,Individual,1st owner,40000,50267.0,10,8,4000.0,333.333,Honda
516,Hero Splendor PRO,40000.0,2016,Individual,1st owner,16000,51994.0,6,4,2666.667,222.222,Hero
517,Honda Dream Neo,45000.0,2017,Individual,2nd owner,21000,49211.0,5,5,4200.0,350.0,Honda
518,Bajaj CT 100,40000.0,2018,Individual,1st owner,14000,,4,3,3500.0,291.667,Bajaj
519,Suzuki Access 125,70000.0,2018,Individual,1st owner,7000,76632.0,4,2,1750.0,145.833,Suzuki
520,Honda Activa [2000-2015],30000.0,2012,Individual,1st owner,22000,50267.0,10,5,2200.0,183.333,Honda
521,Hero Honda Pleasure,25000.0,2009,Individual,1st owner,50000,,13,10,3846.154,320.513,Hero Honda
522,Bajaj Platina 100,20000.0,2012,Individual,1st owner,16295,,10,4,1629.5,135.792,Bajaj
523,Honda CB Hornet 160R,70000.0,2017,Individual,1st owner,35000,87719.0,5,7,7000.0,583.333,Honda
524,Bajaj V15,50000.0,2017,Individual,1st owner,9000,65626.0,5,2,1800.0,150.0,Bajaj
525,Hero Honda CD Deluxe,25000.0,2010,Individual,1st owner,35000,,12,7,2916.667,243.056,Hero Honda
526,Bajaj Pulsar 150,22000.0,2011,Individual,1st owner,60000,,11,12,5454.545,454.545,Bajaj
527,Honda Activa [2000-2015],35000.0,2013,Individual,1st owner,29500,50267.0,9,6,3277.778,273.148,Honda
528,TVS Apache RTR 160,40000.0,2014,Individual,2nd owner,50000,,8,10,6250.0,520.833,TVS
529,Bajaj Pulsar 220F,75000.0,2016,Individual,1st owner,10500,,6,3,1750.0,145.833,Bajaj
530,Hero Honda Passion PRO [2012],28000.0,2011,Individual,2nd owner,60000,,11,12,5454.545,454.545,Hero Honda
531,Hero Maestro Edge,55000.0,2018,Individual,1st owner,39000,52790.0,4,8,9750.0,812.5,Hero
532,Honda Dio,30000.0,2014,Individual,1st owner,24000,,8,5,3000.0,250.0,Honda
533,Hero Glamour 125,40000.0,2016,Individual,1st owner,15000,61600.0,6,3,2500.0,208.333,Hero
534,Bajaj Avenger Street 160,85000.0,2019,Individual,1st owner,3000,,3,1,1000.0,83.333,Bajaj
535,Hero Honda CD Deluxe,12000.0,2007,Individual,2nd owner,100000,,15,20,6666.667,555.556,Hero Honda
536,Yamaha YBR 125,35000.0,2013,Individual,1st owner,20350,54593.0,9,5,2261.111,188.426,Yamaha
537,Bajaj Pulsar 150,25000.0,2015,Individual,2nd owner,50000,,7,10,7142.857,595.238,Bajaj
538,Bajaj Pulsar 150,40000.0,2012,Individual,2nd owner,37000,,10,8,3700.0,308.333,Bajaj
539,Hero Honda CD Deluxe,15000.0,2011,Individual,1st owner,70000,,11,14,6363.636,530.303,Hero Honda
540,Hero Passion PRO i3s,55000.0,2018,Individual,1st owner,15000,54475.0,4,3,3750.0,312.5,Hero
541,Bajaj Pulsar 180,60000.0,2015,Individual,1st owner,28563,85011.0,7,6,4080.429,340.036,Bajaj
542,Yamaha Fazer 25,115000.0,2018,Individual,1st owner,11000,142680.0,4,3,2750.0,229.167,Yamaha
543,TVS Excel,5000.0,1998,Individual,1st owner,60000,,24,12,2500.0,208.333,TVS
544,Honda Shine,40000.0,2015,Individual,1st owner,21121,,7,5,3017.286,251.441,Honda
545,Honda Dream Neo,50000.0,2014,Individual,1st owner,25000,49211.0,8,5,3125.0,260.417,Honda
546,Honda Dio,28000.0,2014,Individual,1st owner,13000,,8,3,1625.0,135.417,Honda
547,Hero Splendor Plus,35000.0,2013,Individual,1st owner,55000,,9,11,6111.111,509.259,Hero
548,Bajaj Xcd,25000.0,2007,Individual,2nd owner,100000,,15,20,6666.667,555.556,Bajaj
549,TVS Streak,20000.0,2009,Individual,2nd owner,36000,,13,8,2769.231,230.769,TVS
550,Bajaj Pulsar 180,40000.0,2013,Individual,1st owner,34000,85011.0,9,7,3777.778,314.815,Bajaj
551,Hero Xtreme 200R,86000.0,2018,Individual,1st owner,12000,93400.0,4,3,3000.0,250.0,Hero
552,Yamaha YZF R15 [2011-2018],65000.0,2011,Individual,1st owner,29000,,11,6,2636.364,219.697,Yamaha
553,Bajaj Avenger Street 150 [2018],60000.0,2017,Individual,1st owner,30000,80435.0,5,6,6000.0,500.0,Bajaj
554,Yamaha RX135,65000.0,1998,Individual,3rd owner,16500,,24,4,687.5,57.292,Yamaha
555,Honda CB Shine SP,41000.0,2017,Individual,1st owner,33000,66697.0,5,7,6600.0,550.0,Honda
556,Honda CBR150 R,110000.0,2017,Individual,1st owner,11800,129662.0,5,3,2360.0,196.667,Honda
557,Honda Dream Yuga,32000.0,2017,Individual,1st owner,39000,56147.0,5,8,7800.0,650.0,Honda
558,Honda Shine,37000.0,2014,Individual,1st owner,16145,,8,4,2018.125,168.177,Honda
559,Hero Splendor Plus i3s,65000.0,2019,Individual,1st owner,1000,55600.0,3,1,333.333,27.778,Hero
560,Hero Honda Passion Plus,18000.0,2007,Individual,2nd owner,50000,,15,10,3333.333,277.778,Hero Honda
561,Hero Honda Passion PRO [2012],28700.0,2012,Individual,2nd owner,49876,,10,10,4987.6,415.633,Hero Honda
562,Honda Activa 3G,35000.0,2016,Individual,1st owner,51000,54605.0,6,11,8500.0,708.333,Honda
563,Bajaj Pulsar 180F,100000.0,2019,Individual,1st owner,1300,,3,1,433.333,36.111,Bajaj
564,Hero Honda Glamour,21000.0,2010,Individual,1st owner,11000,,12,3,916.667,76.389,Hero Honda
565,Bajaj Pulsar 150 [2001-2011],30000.0,2010,Individual,2nd owner,55000,,12,11,4583.333,381.944,Bajaj
566,TVS Apache RTR 200 4V,90000.0,2019,Individual,1st owner,20000,,3,4,6666.667,555.556,TVS
567,Bajaj Super,6000.0,1991,Individual,1st owner,35000,,31,7,1129.032,94.086,Bajaj
568,Hero Honda Passion Plus,23500.0,2010,Individual,1st owner,60000,,12,12,5000.0,416.667,Hero Honda
569,Bajaj Pulsar 150,55000.0,2015,Individual,2nd owner,40000,,7,8,5714.286,476.19,Bajaj
570,Yamaha SZ X,35000.0,2010,Individual,1st owner,46000,65800.0,12,10,3833.333,319.444,Yamaha
571,Hero Honda CD100,15000.0,1998,Individual,1st owner,65000,,24,13,2708.333,225.694,Hero Honda
572,Bajaj Pulsar 180,35000.0,2009,Individual,1st owner,19000,85011.0,13,4,1461.538,121.795,Bajaj
573,Bajaj Pulsar 220 DTS-i,40000.0,2011,Individual,1st owner,26000,,11,6,2363.636,196.97,Bajaj
574,Hero Honda Achiever,15000.0,2009,Individual,1st owner,86000,,13,18,6615.385,551.282,Hero Honda
575,Hero Honda Karizma,40000.0,2011,Individual,2nd owner,340000,,11,68,30909.091,2575.758,Hero Honda
576,Honda CB Unicorn 160,75000.0,2016,Individual,1st owner,40000,77545.0,6,8,6666.667,555.556,Honda
577,Bajaj Avenger Cruise 220,70000.0,2016,Individual,1st owner,10000,,6,2,1666.667,138.889,Bajaj
578,Bajaj Discover 135,22000.0,2007,Individual,1st owner,25000,,15,5,1666.667,138.889,Bajaj
579,Yamaha FZ S V 2.0,80000.0,2019,Individual,1st owner,10000,87042.0,3,2,3333.333,277.778,Yamaha
580,Bajaj Pulsar 150,72000.0,2017,Individual,1st owner,24000,,5,5,4800.0,400.0,Bajaj
581,Hero HF Deluxe,30000.0,2014,Individual,2nd owner,35000,,8,7,4375.0,364.583,Hero
582,Bajaj Pulsar 135 LS,25000.0,2011,Individual,2nd owner,30000,64589.0,11,6,2727.273,227.273,Bajaj
583,Aprilia SR 125,65000.0,2018,Individual,1st owner,6500,,4,2,1625.0,135.417,Aprilia
584,Bajaj Pulsar 150,68000.0,2019,Individual,1st owner,10000,,3,2,3333.333,277.778,Bajaj
585,Hero Duet,27000.0,2016,Individual,1st owner,28000,50280.0,6,6,4666.667,388.889,Hero
586,Honda CB Twister,25000.0,2015,Individual,1st owner,35000,57241.0,7,7,5000.0,416.667,Honda
587,Bajaj Discover 125,45000.0,2016,Individual,1st owner,20000,60122.0,6,4,3333.333,277.778,Bajaj
588,Honda CBR-250R,200000.0,2019,Individual,1st owner,5500,202310.0,3,2,1833.333,152.778,Honda
589,Bajaj Pulsar 180,20100.0,2008,Individual,1st owner,36000,85011.0,14,8,2571.429,214.286,Bajaj
590,Honda Shine,30000.0,2014,Individual,1st owner,25000,,8,5,3125.0,260.417,Honda
591,Suzuki Swish [2012-2015],30000.0,2014,Individual,1st owner,30000,51685.0,8,6,3750.0,312.5,Suzuki
592,TVS Star City,21000.0,2011,Individual,1st owner,101000,47108.0,11,21,9181.818,765.151,TVS
593,Hero Super Splendor,45000.0,2012,Individual,1st owner,21000,,10,5,2100.0,175.0,Hero
594,Yamaha Fazer [2009-2016],45000.0,2014,Individual,1st owner,57700,84751.0,8,12,7212.5,601.042,Yamaha
595,TVS Scooty Pep DLX,14500.0,2012,Individual,1st owner,44000,,10,9,4400.0,366.667,TVS
596,Honda Dream Yuga,47000.0,2019,Individual,1st owner,8800,56147.0,3,2,2933.333,244.444,Honda
597,TVS Star City Plus,26000.0,2014,Individual,2nd owner,68000,,8,14,8500.0,708.333,TVS
598,Yamaha Fazer [2009-2016],25000.0,2013,Individual,1st owner,120000,84751.0,9,24,13333.333,1111.111,Yamaha
599,Hero Honda Street Smart,10000.0,2000,Individual,1st owner,24000,,22,5,1090.909,90.909,Hero Honda
600,TVS Apache RTR 160,50000.0,2017,Individual,1st owner,38000,,5,8,7600.0,633.333,TVS
601,Honda Dio,23000.0,2010,Individual,1st owner,40000,,12,8,3333.333,277.778,Honda
602,Honda Activa [2000-2015],50000.0,2014,Individual,1st owner,48000,50267.0,8,10,6000.0,500.0,Honda
603,Hero Maestro Edge,46000.0,2015,Individual,1st owner,14000,55980.0,7,3,2000.0,166.667,Hero
604,Honda CB Hornet 160R,80000.0,2017,Individual,1st owner,18000,87719.0,5,4,3600.0,300.0,Honda
605,Hero Karizma [2003-2014],50000.0,2013,Individual,1st owner,38000,85766.0,9,8,4222.222,351.852,Hero
606,Honda CB Trigger,40000.0,2014,Individual,1st owner,75000,83437.0,8,15,9375.0,781.25,Honda
607,Honda CB Hornet 160R,70000.0,2017,Individual,1st owner,35000,87719.0,5,7,7000.0,583.333,Honda
608,Hero Glamour FI,30900.0,2014,Individual,1st owner,25000,71150.0,8,5,3125.0,260.417,Hero
609,Bajaj Avenger [2015],65000.0,2010,Individual,1st owner,20000,75502.0,12,4,1666.667,138.889,Bajaj
610,Hero Honda Splendor Plus,15000.0,2006,Individual,1st owner,100000,,16,20,6250.0,520.833,Hero Honda
611,TVS Apache RTR 160,89999.0,2019,Individual,1st owner,6400,,3,2,2133.333,177.778,TVS
612,Hero Honda Splendor Plus,17600.0,2006,Individual,1st owner,52000,,16,11,3250.0,270.833,Hero Honda
613,Bajaj Platina 100,17000.0,2007,Individual,1st owner,16000,,15,4,1066.667,88.889,Bajaj
614,Yamaha FZ25,90000.0,2018,Individual,1st owner,8200,132680.0,4,2,2050.0,170.833,Yamaha
615,Bajaj Pulsar 150 [2001-2011],35000.0,2010,Individual,1st owner,60000,,12,12,5000.0,416.667,Bajaj
616,Yamaha YZF R15 S,70000.0,2017,Individual,1st owner,16000,117926.0,5,4,3200.0,266.667,Yamaha
617,Bajaj Discover 125,15000.0,2011,Individual,1st owner,47000,57549.0,11,10,4272.727,356.061,Bajaj
618,Hero Passion PRO i3s,35000.0,2016,Individual,1st owner,18000,54475.0,6,4,3000.0,250.0,Hero
619,Honda Activa [2000-2015],15000.0,2006,Individual,1st owner,50000,50267.0,16,10,3125.0,260.417,Honda
620,Bajaj Discover 125,50000.0,2018,Individual,1st owner,6000,60122.0,4,2,1500.0,125.0,Bajaj
621,Suzuki Gixxer [2014-2018],69000.0,2017,Individual,1st owner,20000,82813.0,5,4,4000.0,333.333,Suzuki
622,TVS Wego,15000.0,2011,Individual,1st owner,65000,54760.0,11,13,5909.091,492.424,TVS
623,Bajaj Discover 150,25000.0,2008,Individual,1st owner,25000,54299.0,14,5,1785.714,148.809,Bajaj
624,Suzuki Access 125 [2007-2016],30000.0,2012,Individual,1st owner,23000,58314.0,10,5,2300.0,191.667,Suzuki
625,Hero Karizma 2014,45000.0,2014,Individual,1st owner,5555,86744.0,8,2,694.375,57.865,Hero
626,Hero CD Deluxe,35000.0,2016,Individual,1st owner,38000,,6,8,6333.333,527.778,Hero
627,Yamaha Fazer 25,120000.0,2018,Individual,1st owner,6000,142680.0,4,2,1500.0,125.0,Yamaha
628,Hero Splendor Plus,25000.0,2015,Individual,1st owner,45000,,7,9,6428.571,535.714,Hero
629,Yamaha YZF R15 [2011-2018],80000.0,2017,Individual,1st owner,27000,118997.0,5,6,5400.0,450.0,Yamaha
630,Hero Honda Splendor Plus,10000.0,2007,Individual,1st owner,98000,,15,20,6533.333,544.444,Hero Honda
631,TVS Apache RTR 160,70000.0,2018,Individual,1st owner,16000,,4,4,4000.0,333.333,TVS
632,Bajaj Pulsar 150,35000.0,2011,Individual,1st owner,50000,,11,10,4545.455,378.788,Bajaj
633,Hero Glamour 125,40000.0,2015,Individual,1st owner,71250,61600.0,7,15,10178.571,848.214,Hero
634,Hero Honda Passion Plus,20000.0,2006,Individual,1st owner,28000,,16,6,1750.0,145.833,Hero Honda
635,Honda CB Twister,30000.0,2012,Individual,1st owner,50000,57241.0,10,10,5000.0,416.667,Honda
636,Bajaj CT 100,8000.0,2005,Individual,2nd owner,82000,,17,17,4823.529,401.961,Bajaj
637,Bajaj Pulsar 220 DTS-i,65000.0,2013,Individual,1st owner,6409,,9,2,712.111,59.343,Bajaj
638,Hero Honda Super Splendor [2005],20000.0,2008,Individual,1st owner,54000,,14,11,3857.143,321.429,Hero Honda
639,Honda CB Trigger,45000.0,2013,Individual,1st owner,20000,76572.0,9,4,2222.222,185.185,Honda
640,Hero Hunk,35000.0,2013,Individual,1st owner,50000,78513.0,9,10,5555.556,462.963,Hero
641,Bajaj Discover 150,25000.0,2011,Individual,1st owner,52000,54299.0,11,11,4727.273,393.939,Bajaj
642,TVS Apache RTR 160,15000.0,2009,Individual,4th owner,880000,,13,176,67692.308,5641.026,TVS
643,Hero Xtreme Sports,65000.0,2017,Individual,1st owner,23000,78350.0,5,5,4600.0,383.333,Hero
644,Bajaj Avenger [2015],45000.0,2011,Individual,1st owner,35000,75502.0,11,7,3181.818,265.151,Bajaj
645,Honda Activa 125,45000.0,2017,Individual,1st owner,49000,,5,10,9800.0,816.667,Honda
646,Bajaj Pulsar 220F,50000.0,2011,Individual,2nd owner,55000,,11,11,5000.0,416.667,Bajaj
647,Bajaj Pulsar NS200,85000.0,2018,Individual,2nd owner,15100,,4,4,3775.0,314.583,Bajaj
648,Hero Honda Splendor,25000.0,2008,Individual,1st owner,38000,,14,8,2714.286,226.191,Hero Honda
649,Honda CB Unicorn 150,60000.0,2017,Individual,1st owner,12652,74295.0,5,3,2530.4,210.867,Honda
650,Suzuki Gixxer SF Fi,100000.0,2019,Individual,1st owner,7000,103170.0,3,2,2333.333,194.444,Suzuki
651,KTM RC 200,180000.0,2019,Individual,2nd owner,13800,,3,3,4600.0,383.333,KTM
652,Bajaj Discover 100,25000.0,2010,Individual,2nd owner,28000,42859.0,12,6,2333.333,194.444,Bajaj
653,TVS Wego,15000.0,2011,Individual,2nd owner,20000,54760.0,11,4,1818.182,151.515,TVS
654,Honda CB Hornet 160R,60000.0,2017,Individual,2nd owner,16008,92210.0,5,4,3201.6,266.8,Honda
655,Yamaha YZF R15 S,75000.0,2018,Individual,1st owner,36000,117926.0,4,8,9000.0,750.0,Yamaha
656,Hero CBZ,35000.0,2010,Individual,1st owner,36000,,12,8,3000.0,250.0,Hero
657,TVS Scooty Zest 110,55000.0,2018,Individual,1st owner,380,53751.0,4,1,95.0,7.917,TVS
658,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,50000,87042.0,4,10,12500.0,1041.667,Yamaha
659,Hero Honda Glamour,35000.0,2012,Individual,1st owner,30000,,10,6,3000.0,250.0,Hero Honda
660,Hero Honda CBZ extreme,35000.0,2011,Individual,1st owner,35000,,11,7,3181.818,265.151,Hero Honda
661,Yamaha FZ S V 2.0,60000.0,2017,Individual,1st owner,14500,84042.0,5,3,2900.0,241.667,Yamaha
662,Suzuki Access 125,40000.0,2017,Individual,1st owner,15000,,5,3,3000.0,250.0,Suzuki
663,Bajaj Pulsar 150,30000.0,2010,Individual,1st owner,54000,,12,11,4500.0,375.0,Bajaj
664,Bajaj Pulsar NS160,80000.0,2018,Individual,1st owner,11000,,4,3,2750.0,229.167,Bajaj
665,Hero Splendor PRO,24000.0,2011,Individual,1st owner,43000,51994.0,11,9,3909.091,325.758,Hero
666,Honda Shine,18000.0,2010,Individual,1st owner,15000,,12,3,1250.0,104.167,Honda
667,Hero Passion Pro 110,20000.0,2008,Individual,3rd owner,40000,,14,8,2857.143,238.095,Hero
668,Yamaha FZ16,40000.0,2016,Individual,1st owner,93000,78712.0,6,19,15500.0,1291.667,Yamaha
669,Suzuki Access 125,20000.0,2012,Individual,1st owner,24000,,10,5,2400.0,200.0,Suzuki
670,TVS Jupiter,70000.0,2018,Individual,1st owner,14000,,4,3,3500.0,291.667,TVS
671,Hero Passion Pro 110,50000.0,2019,Individual,1st owner,29442,,3,6,9814.0,817.833,Hero
672,Yamaha FZ S V 2.0,75000.0,2017,Individual,1st owner,20000,84042.0,5,4,4000.0,333.333,Yamaha
673,Honda Livo,25000.0,2015,Individual,1st owner,30000,,7,6,4285.714,357.143,Honda
674,Honda CB Hornet 160R,70000.0,2017,Individual,1st owner,38000,87543.0,5,8,7600.0,633.333,Honda
675,Honda Activa 125 [2016-2017],55000.0,2018,Individual,1st owner,18000,61545.0,4,4,4500.0,375.0,Honda
676,Honda Activa 5G,51000.0,2018,Individual,1st owner,14000,59422.0,4,3,3500.0,291.667,Honda
677,Yamaha Saluto,74000.0,2019,Individual,1st owner,13000,59844.0,3,3,4333.333,361.111,Yamaha
678,Yamaha FZ S V 2.0,65000.0,2017,Individual,1st owner,42000,84042.0,5,9,8400.0,700.0,Yamaha
679,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,2nd owner,27000,80435.0,6,6,4500.0,375.0,Bajaj
680,Bajaj Pulsar 220F,110000.0,2019,Individual,1st owner,4000,,3,1,1333.333,111.111,Bajaj
681,Yamaha YZF R15 [2011-2018],50000.0,2014,Individual,1st owner,1200,118997.0,8,1,150.0,12.5,Yamaha
682,TVS Apache RTR 160 4V,85009.0,2018,Individual,1st owner,7500,,4,2,1875.0,156.25,TVS
683,Hero Passion Pro 110,60000.0,2013,Individual,1st owner,15000,,9,3,1666.667,138.889,Hero
684,Bajaj Pulsar 150,25000.0,2013,Individual,2nd owner,70000,,9,14,7777.778,648.148,Bajaj
685,TVS Apache RTR 160 4V,75000.0,2019,Individual,1st owner,12657,,3,3,4219.0,351.583,TVS
686,Honda CB Unicorn 150,30000.0,2010,Individual,1st owner,69000,74295.0,12,14,5750.0,479.167,Honda
687,Honda Activa [2000-2015],16600.0,2010,Individual,1st owner,100000,50267.0,12,20,8333.333,694.444,Honda
688,Honda Activa 3G,30000.0,2015,Individual,1st owner,18000,54605.0,7,4,2571.429,214.286,Honda
689,Honda Shine,20000.0,2007,Individual,1st owner,80000,,15,16,5333.333,444.444,Honda
690,Honda Activa 5G,62000.0,2019,Individual,1st owner,11200,59422.0,3,3,3733.333,311.111,Honda
691,Bajaj Avenger Street 220,60000.0,2016,Individual,1st owner,17000,95955.0,6,4,2833.333,236.111,Bajaj
692,Hero Xtreme [2013-2014],45000.0,2014,Individual,1st owner,56420,72492.0,8,12,7052.5,587.708,Hero
693,Yamaha FZ S [2012-2016],40000.0,2011,Individual,1st owner,82000,79432.0,11,17,7454.545,621.212,Yamaha
694,Suzuki Intruder 150,75000.0,2018,Individual,1st owner,10000,,4,2,2500.0,208.333,Suzuki
695,Yamaha Fazer [2009-2016],50000.0,2012,Individual,1st owner,100000,84751.0,10,20,10000.0,833.333,Yamaha
696,Bajaj Pulsar RS 200,105000.0,2017,Individual,1st owner,18345,,5,4,3669.0,305.75,Bajaj
697,Bajaj Discover 135,30000.0,2009,Individual,1st owner,20000,,13,4,1538.462,128.205,Bajaj
698,Hero Honda CBZ,10000.0,2000,Individual,4th owner,48000,,22,10,2181.818,181.818,Hero Honda
699,Bajaj Pulsar 135 LS,45000.0,2014,Individual,1st owner,14000,64589.0,8,3,1750.0,145.833,Bajaj
700,Yamaha Fazer 25,145000.0,2018,Individual,2nd owner,4100,142680.0,4,1,1025.0,85.417,Yamaha
701,Honda CB Unicorn 150,45000.0,2016,Individual,2nd owner,50000,74295.0,6,10,8333.333,694.444,Honda
702,Honda Activa 5G,65000.0,2019,Individual,1st owner,3025,59422.0,3,1,1008.333,84.028,Honda
703,Bajaj Pulsar 135 LS,20000.0,2011,Individual,1st owner,60000,64589.0,11,12,5454.545,454.545,Bajaj
704,Hero Duet,37000.0,2016,Individual,1st owner,6000,50280.0,6,2,1000.0,83.333,Hero
705,Hero Splendor NXG,18000.0,2011,Individual,1st owner,35000,44814.0,11,7,3181.818,265.151,Hero
706,Hero Glamour 125,25000.0,2013,Individual,1st owner,50000,61600.0,9,10,5555.556,462.963,Hero
707,Honda Activa 5G,46000.0,2018,Individual,1st owner,10000,57557.0,4,2,2500.0,208.333,Honda
708,Yamaha Fascino 110,55000.0,2019,Individual,1st owner,7000,57112.0,3,2,2333.333,194.444,Yamaha
709,Bajaj V15,40000.0,2016,Individual,1st owner,34000,67187.0,6,7,5666.667,472.222,Bajaj
710,Hero Honda Passion PRO [2012],25000.0,2012,Individual,2nd owner,20000,,10,4,2000.0,166.667,Hero Honda
711,Honda Activa [2000-2015],25000.0,2012,Individual,1st owner,38000,50267.0,10,8,3800.0,316.667,Honda
712,Bajaj Xcd,15000.0,2008,Individual,1st owner,100000,,14,20,7142.857,595.238,Bajaj
713,Bajaj Pulsar NS160,70000.0,2018,Individual,1st owner,20000,,4,4,5000.0,416.667,Bajaj
714,Honda CB Hornet 160R,70000.0,2017,Individual,1st owner,240000,92210.0,5,48,48000.0,4000.0,Honda
715,Yamaha RXG,25000.0,1997,Individual,1st owner,45354,,25,10,1814.16,151.18,Yamaha
716,TVS Streak,10000.0,2009,Individual,1st owner,100000,,13,20,7692.308,641.026,TVS
717,Bajaj Pulsar RS 200,80000.0,2015,Individual,1st owner,32000,,7,7,4571.429,380.952,Bajaj
718,Yamaha Alpha,25000.0,2015,Individual,2nd owner,14000,54253.0,7,3,2000.0,166.667,Yamaha
719,Honda Livo,35000.0,2016,Individual,1st owner,70000,,6,14,11666.667,972.222,Honda
720,Mahindra Gusto,25000.0,2016,Individual,1st owner,13500,51185.0,6,3,2250.0,187.5,Mahindra
721,Bajaj Discover 125,26000.0,2012,Individual,1st owner,75000,57549.0,10,15,7500.0,625.0,Bajaj
722,Hero Glamour 125,15000.0,2011,Individual,1st owner,75000,61600.0,11,15,6818.182,568.182,Hero
723,Honda CB Unicorn 160,50000.0,2017,Individual,1st owner,52000,77545.0,5,11,10400.0,866.667,Honda
724,Hero Pleasure,26500.0,2013,Individual,1st owner,18860,49600.0,9,4,2095.556,174.63,Hero
725,Royal Enfield Classic 350,135000.0,2017,Individual,1st owner,2700,,5,1,540.0,45.0,Royal Enfield
726,Honda CB Hornet 160R,80000.0,2016,Individual,1st owner,100000,92661.0,6,20,16666.667,1388.889,Honda
727,Bajaj CT 100,30000.0,2016,Individual,1st owner,38500,,6,8,6416.667,534.722,Bajaj
728,Yamaha FZ S V 2.0,90000.0,2018,Individual,1st owner,10500,87042.0,4,3,2625.0,218.75,Yamaha
729,Bajaj Pulsar 180,85000.0,2016,Individual,1st owner,35000,85011.0,6,7,5833.333,486.111,Bajaj
730,Hero Glamour 125,54000.0,2013,Individual,1st owner,17000,61600.0,9,4,1888.889,157.407,Hero
731,Bajaj CT 100,42000.0,2019,Individual,1st owner,2900,,3,1,966.667,80.556,Bajaj
732,Bajaj Discover 100 T,25000.0,2014,Individual,1st owner,30000,47032.0,8,6,3750.0,312.5,Bajaj
733,TVS Star City Plus,50000.0,2016,Individual,2nd owner,14000,,6,3,2333.333,194.444,TVS
734,Honda CB Unicorn 150,55000.0,2014,Individual,1st owner,10000,74295.0,8,2,1250.0,104.167,Honda
735,Hero Passion PRO TR,35000.0,2014,Individual,1st owner,9556,54586.0,8,2,1194.5,99.542,Hero
736,Honda CB Shine SP,50000.0,2018,Individual,1st owner,37000,64750.0,4,8,9250.0,770.833,Honda
737,Bajaj V15,45000.0,2015,Individual,1st owner,2700,65626.0,7,1,385.714,32.143,Bajaj
738,Bajaj V15,45000.0,2016,Individual,1st owner,36000,67187.0,6,8,6000.0,500.0,Bajaj
739,Bajaj Discover 100,28000.0,2015,Individual,2nd owner,52000,42859.0,7,11,7428.571,619.048,Bajaj
740,Royal Enfield Electra 4 S,80000.0,2013,Individual,1st owner,46000,,9,10,5111.111,425.926,Royal Enfield
741,KTM 200 Duke,130000.0,2016,Individual,1st owner,12000,,6,3,2000.0,166.667,KTM
742,Bajaj Pulsar 220F,120000.0,2019,Individual,1st owner,6500,,3,2,2166.667,180.556,Bajaj
743,Suzuki GS150R,27000.0,2012,Individual,1st owner,14100,70851.0,10,3,1410.0,117.5,Suzuki
